id,correctAnswer
200023,D
200025,A
200032,C
200036,D
200050,A
200051,D
200053,A
200062,A
200071,B
200084,A
200113,D
200120,C
200123,A
200130,D
200134,C
200156,D
200160,C
200170,C
200176,D
200191,D
200196,B
200204,D
200208,D
200213,D
200221,C
200230,B
200235,A
200243,C
200248,C
200253,C
200262,C
200264,C
200267,D
200270,D
200274,C
200281,B
200285,B
200310,B
200314,A
200317,A
200335,C
200339,C
200345,C
200347,A
200352,D
200363,C
200364,B
200389,C
200391,B
200404,B
200405,C
4389,D
202768,A
202772,D
202777,D
202779,D
202793,C
202802,D
202804,B
202818,B
202832,A
202845,D
202849,B
202858,D
202877,B
202881,B
105535,D
105541,C
105551,D
105556,D
105560,D
105576,D
105583,C
105591,C
105604,A
105618,C
105619,B
105623,A
105630,D
105649,D
105665,A
105673,B
105685,A
105701,C
105704,A
105706,B
7411,A
105726,A
7426,C
105739,B
105743,B
105750,A
7457,D
7458,B
105778,A
105783,B
105787,C
105803,D
105809,B
105812,A
105819,A
105821,D
7524,C
105845,C
105846,C
105849,D
105856,A
7559,B
7561,D
105872,B
105879,A
105883,C
105890,C
105892,B
105893,D
105894,D
105898,C
105917,C
105920,B
105923,B
105926,C
105934,D
105937,C
105950,D
105958,B
105965,A
105968,C
105972,C
105994,B
106001,B
106007,B
106010,D
106013,A
106022,D
106025,A
106033,A
106040,D
106043,B
106044,B
106060,C
106068,B
8001,C
8003,D
8004,D
8021,B
8022,D
8023,D
8024,C
8032,B
8033,D
8034,A
8036,B
8050,C
8053,B
8054,D
8068,C
8069,A
8070,A
8071,A
8072,A
8101,B
8102,B
8104,D
8105,D
8106,D
8107,C
8120,A
8121,C
8130,A
8132,B
8133,A
8134,A
8135,A
8150,A
8282,B
8283,C
8284,B
8287,C
8288,B
8290,A
8291,D
8292,D
8293,C
8294,D
8295,D
8296,D
8297,B
8299,D
8301,B
8302,C
8355,D
8356,B
8358,A
8359,B
8360,B
8361,B
8362,B
8363,D
8364,C
8365,C
8368,C
8371,C
8418,C
8419,A
8420,B
8421,D
8422,B
8423,B
8424,C
8425,C
8426,C
8427,C
8428,B
8429,A
8430,A
8435,D
8436,C
8437,B
8438,A
8439,B
8487,B
8488,A
8489,C
8490,C
8491,B
8492,D
8493,C
8494,C
8496,C
8497,C
8498,D
8499,D
8501,C
8502,D
8503,B
8504,D
8505,C
8507,D
8509,D
8510,C
8554,D
8555,D
8556,A
8557,B
8558,A
8559,B
8560,D
8562,C
8564,D
8565,C
8566,C
8567,B
8568,C
8569,C
8570,A
8571,D
8572,D
8573,A
8664,D
8665,C
8666,A
8667,D
8668,A
8670,D
8672,A
8673,B
8675,D
8677,D
8680,C
8682,B
8684,C
8704,A
8706,B
8707,C
8708,B
8709,B
8711,B
8712,A
8714,D
8715,C
8717,C
8718,C
8719,A
8721,D
8722,D
8723,C
8726,D
8763,C
8765,A
8766,C
8767,C
8768,C
8769,A
8770,D
8771,C
8772,A
8773,B
8774,C
8775,D
8776,B
8777,D
8778,A
8779,A
8780,A
205390,D
205426,D
205427,B
205430,A
205445,C
8845,C
8847,D
8848,A
8849,B
8850,C
8852,D
8853,B
8854,C
8855,A
8856,C
8857,C
205466,A
8859,A
8860,A
8861,C
8862,A
205554,A
8971,D
8972,B
8975,D
8976,C
8978,D
8979,B
8980,C
8981,C
8983,C
8984,C
8986,D
205626,C
9022,B
9027,D
9028,A
9030,C
9031,C
9033,D
9034,A
9037,A
9038,D
9041,A
9042,B
9043,C
205654,D
9084,D
9086,D
9087,A
9089,D
9091,D
9092,B
9093,C
9094,A
9095,A
9096,C
9097,B
9098,C
9099,B
9100,B
9101,D
9103,D
9104,D
205713,B
9107,C
205726,D
205741,C
9141,C
205750,C
9143,B
9145,D
9146,B
9147,B
9148,C
9149,A
9151,D
9152,C
9153,D
9154,A
9157,B
9158,D
205779,D
205794,C
9197,B
9198,D
9200,D
9202,C
9203,C
9204,C
9208,B
9209,B
9210,C
9211,A
9212,D
9213,D
205823,C
205847,D
205890,D
205900,D
9302,C
9304,C
9306,C
9307,C
9308,A
9309,A
9310,D
9311,D
9312,D
9313,D
9314,C
9315,C
9316,A
9317,B
9318,D
9319,B
9320,C
9321,A
9322,B
205931,B
9343,C
9344,B
9346,A
9347,B
9348,C
9349,B
9350,C
9352,D
9353,A
9354,D
9355,A
9357,A
9358,B
9360,B
9403,A
9404,A
9405,A
9409,D
9410,D
9411,D
9412,B
9413,B
9414,B
9415,D
9416,A
9417,B
9418,B
9419,C
9421,D
9422,D
9423,B
9424,C
9483,D
9484,C
9485,A
9486,A
9487,B
9488,D
9489,A
9490,A
9491,D
9492,C
9493,A
9494,B
9495,B
9496,D
9497,B
9498,D
9499,D
9500,D
9502,B
9503,A
9577,C
9592,B
9593,D
9602,C
9624,C
9625,C
9642,A
9643,A
9657,D
9660,A
9671,D
9672,C
9754,D
9755,B
9756,A
9757,D
9758,D
9760,B
9761,C
9795,A
9796,A
9832,D
9833,A
9834,A
9836,A
9863,D
9868,B
9889,C
9891,A
9898,C
9964,C
9965,C
9966,B
9967,C
9969,A
9971,A
9972,C
9977,A
9987,C
9988,C
9989,D
9992,D
9993,C
9994,B
10014,A
10015,A
10017,A
10018,C
10019,C
10020,A
10021,B
10022,A
10023,A
10070,B
10072,C
10075,A
10076,D
10078,D
10191,C
10192,C
10194,A
10195,A
10196,A
10197,C
10198,D
10199,B
10201,D
10242,A
10243,A
10249,A
10250,B
10252,A
10253,D
10254,A
10255,A
10257,B
10258,D
10260,C
10261,D
10262,D
10298,D
10299,A
10300,B
10301,D
10302,C
10303,B
10304,D
10305,D
10306,B
10307,A
10308,D
10309,B
10310,A
10344,A
10347,D
10349,C
10351,A
10352,B
10353,D
10356,D
10357,B
10358,B
10360,A
10361,C
10394,C
10396,C
10397,D
10398,A
10399,D
10400,A
10401,A
10403,B
10404,A
10405,D
10406,C
10407,A
10408,B
10409,A
10410,D
10411,B
10412,C
10413,A
10414,C
10415,D
10416,A
10417,A
10418,D
10520,A
10521,B
10522,A
10525,B
10527,C
10528,D
10529,A
10530,C
10532,A
10533,B
10534,B
10536,B
10538,D
10539,D
10541,A
10542,D
10560,C
10561,B
10562,D
10563,A
10565,C
10566,D
10567,D
10568,D
10569,C
10571,A
10573,D
10574,C
10575,B
10576,B
10617,A
10618,B
10619,D
10620,C
10621,D
10622,D
10623,A
10624,D
10625,B
10628,C
10629,C
10683,B
10684,B
10685,A
10686,A
10687,A
10688,C
10689,C
10690,C
10691,D
10692,D
10693,A
10695,D
10696,A
10697,A
10698,B
10699,A
10700,D
10789,C
10922,D
11001,B
11521,C
11601,C
11691,D
12996,A
13003,C
12791,B
12801,B
205562,C
12952,B
205436,A
205613,B
7885,D
8016,A
8020,D
8109,B
8119,A
205711,B
205716,B
205742,C
205766,D
205397,D
205400,A
205404,B
205410,C
205428,D
205443,D
205497,D
205500,A
205512,B
205539,B
205594,A
205595,C
205667,B
200215,A
205858,A
205702,A
205731,B
205866,C
205751,D
205786,A
9199,B
205831,C
205834,A
205849,A
205879,D
205899,A
205919,C
205949,D
205956,A
205510,C
9594,A
9656,A
191503,C
191529,C
191531,D
191540,D
191543,A
191546,C
191551,B
191554,B
191564,D
191569,D
191576,D
191581,A
191586,A
191590,B
191592,B
191597,B
191607,A
191617,B
191636,C
191638,A
191644,D
191652,D
191661,D
191672,B
191681,A
191686,A
191695,B
191697,D
191703,D
191707,C
191726,B
191734,C
191750,C
191780,A
191784,C
191797,C
191799,C
191806,C
191838,D
191841,B
191846,C
191857,B
191871,D
191875,A
191879,B
191884,D
191901,B
191908,C
191909,A
191913,B
191915,A
191932,D
191947,C
191955,B
191963,A
191968,A
191972,A
191975,B
191979,A
191984,A
191988,C
191994,B
191999,A
192003,C
192012,D
192045,A
192056,D
192063,D
192067,D
